control_number,announcement_number,position_title,hiring_agency_name,hiring_department_name,job_series,minimum_grade,maximum_grade,position_open_date,position_close_date,minimum_salary,maximum_salary,work_schedule,telework_eligible,supervisory_status
836027600,25-SLS-12730491-CTAP,Program Analyst (Product Manager),Office of Personnel Management,Other Agencies and Independent Organizations,0343,14,14,2025-04-28,2025-05-02,106382.0,138296.0,Full-time,N,N
833679200,VAR003053,Product Manager,Library of Congress,Legislative Branch,0301,14,14,2025-03-14,2025-03-28,142488.0,185234.0,Full-time,N,N
832733700,HRM-DE-12698479-JLM,PRODUCT OWNER (JUNIOR),Customs and Border Protection,Department of Homeland Security,0301,11,12,2025-02-28,2025-03-06,73939.0,115213.0,Full-time,N,N
826059300,25-DAS-12656279,Information Technology Specialist (Product Manager),Administrative Office of the U.S. Courts,Judicial Branch,2210,00,00,2025-02-18,2025-03-11,101402.0,190061.0,Full-time,N,N
831720500,MCAD251493900340,Acquisition Key Billet Product Manager or  Acquisition Director,U.S. Army Acquisition Support Center,Department of the Army,0340,14,14,2025-02-18,2025-04-18,106382.0,138296.0,Full-time,N,Y
830155600,MCAD256397292536,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2025-02-03,2025-02-14,129690.0,195200.0,Full-time,N,Y
828408300,25-CD-00487-12670552-DHR,Data Product Manager,Other Agencies and Independent Organizations,Department of Energy,0343,13,13,2025-01-16,2025-01-20,105383.0,156755.0,Full-time,N,N
828085100,25-BEP-12667675-P,Program Manager (Currency Product Manager),Bureau of Engraving and Printing,Department of the Treasury,0340,14,14,2025-01-15,2025-01-29,135382.0,185234.0,Full-time,N,N
828085300,25-BEP-12667676,Program Manager (Currency Product Manager),Bureau of Engraving and Printing,Department of the Treasury,0340,14,14,2025-01-15,2025-01-29,135382.0,185234.0,Full-time,N,N
827836800,25-FS-233-MPA,Business Systems Analyst (Product Owner),Bureau of the Fiscal Service,Department of the Treasury,0501,13,13,2025-01-14,2025-01-23,105383.0,156755.0,Full-time,N,N
825335900,MCAD245819091817,PROGRAM MANAGER (DEPUTYPRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-12-26,2025-01-03,122198.0,172481.0,Full-time,N,Y
825792600,MCAD245909110546,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-12-26,2025-01-06,142488.0,195200.0,Full-time,N,Y
825875200,MCAD245909390658,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-12-26,2025-01-10,129690.0,195200.0,Full-time,N,Y
824997500,HRM-SMP-12645169-JJD,Product Owner,Customs and Border Protection,Department of Homeland Security,0301,13,13,2024-12-23,2024-12-31,103409.0,134435.0,Full-time,N,N
824096800,ST-12635942-25-TLB,LEAD SOFTWARE PRODUCT OWNER,Naval Sea Systems Command,Department of the Navy,0301,13,13,2024-12-16,2024-12-27,115793.0,150535.0,Full-time,N,Y
823980200,MCAD245667382544H,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-12-13,2024-12-19,139395.0,191900.0,Full-time,N,Y
823418200,MCAD245667386022H,Program Manager (Deputy Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-12-11,2024-12-17,139395.0,191900.0,Full-time,N,Y
822669700,CMS-OIT-25-12629938-DE,Product Manager,Centers for Medicare & Medicaid Services,Department of Health and Human Services,0301,13,13,2024-12-09,2024-12-13,117962.0,153354.0,Full-time,N,N
822701100,NPSMP-25-12596256-HM,Project Manager (Product Owner),National Park Service,Department of the Interior,0301,13,13,2024-12-06,2024-12-19,103409.0,134435.0,Full-time,N,N
822598000,71090,Innovation Product Lead NF4,U.S. Marine Corps,Department of the Navy,1101,04,04,2024-12-05,2024-12-15,106000.0,121000.0,Full-time,N,N
822109500,MCAD245546488431,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-12-04,2024-12-09,139395.0,191900.0,Full-time,N,Y
821052900,MCAD245266093582,Program Manager (Deputy Product Manager Acquisiton),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-11-26,2024-12-06,127073.0,191900.0,Full-time,N,Y
820073900,MCAD245417748645HQ,Program Manager (Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-11-25,2024-11-27,122198.0,186854.0,Full-time,N,Y
820285300,MCAD245290162017HQ,Program Manager (Deputy Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-11-21,2024-12-05,127073.0,191900.0,Full-time,N,N
819979700,FSA-2025-0008,"Division Chief of Product Management, GS-0301-15, FPL 15 (DE)",Federal Student Aid,Department of Education,0301,15,15,2024-11-20,2024-12-09,163964.0,191900.0,Full-time,N,Y
819981600,FSA-2025-0009,"Division Chief of Product Management, GS-0301-15, FPL 15 (MP)",Federal Student Aid,Department of Education,0301,15,15,2024-11-20,2024-12-09,163964.0,191900.0,Full-time,N,Y
819527800,MCAD245248449258,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-11-18,2024-11-25,139395.0,191900.0,Full-time,N,Y
818733600,MCAD245075515927,PROGRAM MANAGER (PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-11-13,2024-11-27,139395.0,191900.0,Full-time,N,Y
818521100,MC-12605949-12-DAF-MP,Information Technology Specialist (Product Management)- 4A/3B,Millennium Challenge Corporation,Other Agencies and Independent Organizations,2210,13,14,2024-11-12,2024-11-19,117840.0,189410.0,Full-time,N,N
817657900,MCAD245043797437,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-11-06,2024-11-12,128252.0,183500.0,Full-time,N,Y
817682700,JP-25-017,IT Project Manager (Technical Product Manager),Office of Justice Programs,Department of Justice,2210,14,14,2024-11-05,2024-11-19,139395.0,181216.0,Full-time,N,N
817369100,MCAD244960964306,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-11-04,2024-11-14,127073.0,191900.0,Full-time,N,Y
816243100,101-EDU-12592337-25-KL-NBU,Management & Program Analyst (Product Owner's Requirements),Veterans Benefits Administration,Department of Veterans Affairs,0343,11,13,2024-10-28,2024-11-01,62107.0,115079.0,Full-time,N,N
815735700,25-12589007K-OSB-0301-15,Product Development Specialist (Product Manager),Internal Revenue Service,Department of the Treasury,0301,15,15,2024-10-24,2024-11-05,143736.0,191900.0,Full-time,N,N
815736500,25-12589009K-OSS-0301-15,Product Development Specialist (Product Manager),Internal Revenue Service,Department of the Treasury,0301,15,15,2024-10-24,2024-11-05,143736.0,191900.0,Full-time,N,N
815450700,MCAD244897435091HQ,PROGRAM MANAGER (DEPUTY PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-10-23,2024-11-06,127073.0,191900.0,Full-time,N,Y
814879500,DE-12576323-25-LM,INTERDISCIPLINARY ENGINEER/SCIENTIST (FMS PRODUCT MANAGER),Naval Air Systems Command,Department of the Navy,"1520, 1310, 1550, 0850, 0801, 0854, 0855, 0830, 0861",4,4,2024-10-21,2025-01-21,101121.0,156323.0,Full-time,N,N
814525200,MCAD244798327224HW,Program Manager (Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-10-17,2024-10-22,139395.0,191900.0,Full-time,N,Y
814634400,MCAD244637540735HQR,Program Manager (Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-10-17,2024-10-24,127073.0,191900.0,Full-time,N,Y
814203500,MCAD244637540735HQ,Program Manager (Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-10-16,2024-10-17,127073.0,191900.0,Full-time,N,Y
811948100,PTO-24-12552876-DT,Digital Communications Specialist (Product Owner),Patent and Trademark Office,Department of Commerce,1001,12,13,2024-10-01,2024-10-15,0.0,0.0,Full-time,N,N
811740200,MCAD244524608112HW,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Special Operations Command (Army),Department of the Army,0340,4,4,2024-09-30,2024-10-15,123914.0,189477.0,Full-time,N,Y
811857000,req451,Senior Product Owner #5476,Senate,Legislative Branch,2210,00,00,2024-09-27,2024-10-11,99518.0,168496.0,Full-time,N,N
810957200,101-EDU-12540372-KL-NBU,Management & Program Analyst (Product Owner's Requirements),Veterans Benefits Administration,Department of Veterans Affairs,0343,11,13,2024-09-25,2024-10-01,62107.0,115079.0,Full-time,N,N
810995800,QM-2024-0129,Product Owner,Federal Acquisition Service,General Services Administration,0301,13,13,2024-09-24,2024-10-03,103409.0,167336.0,Full-time,N,N
810341000,24-CD-00379-12552837-DH,Data Product Manager,Other Agencies and Independent Organizations,Department of Energy,0343,13,13,2024-09-19,2024-09-26,117962.0,153354.0,Full-time,N,N
810372000,MCAD244298382363HQ,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-09-19,2024-09-27,139395.0,191900.0,Full-time,N,Y
809957900,24-BEP-440-A,SUPERVISORY PROGRAM MANAGER (MANAGER OF PRODUCT MANAGEMENT DIVISION),Bureau of Engraving and Printing,Department of the Treasury,0340,14,14,2024-09-18,2024-10-01,132753.0,181216.0,Full-time,N,Y
810168000,101-EDU-12540372-24-KL-NBU,Management & Program Analyst (Product Owner's Requirements),Veterans Benefits Administration,Department of Veterans Affairs,0343,11,13,2024-09-18,2024-09-23,62107.0,115079.0,Full-time,N,N
809552300,WMD-24-20-12515449-DT,IT Specialist (Product Manager),Patent and Trademark Office,Department of Commerce,0301,14,14,2024-09-13,2024-09-27,0.0,0.0,Full-time,N,N
808515200,24-DO-903,Product Manager,"Treasury, Departmental Offices",Department of the Treasury,0301,51,53,2024-09-09,2024-09-23,101297.0,133965.0,Full-time,N,N
808517300,24-DO-904-P,Product Manager,"Treasury, Departmental Offices",Department of the Treasury,0301,51,53,2024-09-09,2024-09-23,101297.0,133965.0,Full-time,N,N
808666800,MCC-12533850-109-AF-DE,"Information Technology Specialist (Product Management), MC-2210-4A/3B",Millennium Challenge Corporation,Other Agencies and Independent Organizations,2210,13,14,2024-09-09,2024-09-13,139260.0,189410.0,Full-time,N,N
807188100,QM-2024-0121,Product Manager,Federal Acquisition Service,General Services Administration,0301,14,14,2024-08-29,2024-09-09,122198.0,191900.0,Full-time,N,N
806287200,CMS-OHC-24-12516731-DE,IT Product Manager,Centers for Medicare & Medicaid Services,Department of Health and Human Services,2210,13,13,2024-08-23,2024-08-29,88520.0,115079.0,Full-time,N,N
803824700,MCAD242870626608,PROGRAM MANAGER (PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-08-13,2024-08-19,134751.0,191900.0,Full-time,N,Y
803270300,CMS-OHC-24-12498024-DE,IT Product Manager,Centers for Medicare & Medicaid Services,Department of Health and Human Services,2210,13,13,2024-08-06,2024-08-12,88520.0,115079.0,Full-time,N,N
802473100,MCAD242619842918,Assistant Product Manager,U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-07-31,2024-08-13,143559.0,191900.0,Full-time,N,N
800514400,SH-12475605,Business Product Manager,Social Security Administration,Other Agencies and Independent Organizations,0301,14,14,2024-07-22,2024-07-26,139395.0,181216.0,Full-time,N,N
799705200,SH-12471073,Business Product Manager,Social Security Administration,Other Agencies and Independent Organizations,0301,13,13,2024-07-15,2024-07-26,88520.0,115079.0,Full-time,N,N
799596700,24-BPA-40945-12476407-MP,Public Utilities Specialist (Settlements Product Owner),Bonneville Power Administration,Department of Energy,1130,13,13,2024-07-12,2024-07-31,111234.0,144608.0,Full-time,N,N
799596900,24-BPA-40945-12476408-DE,Public Utilities Specialist (Settlements Product Owner),Bonneville Power Administration,Department of Energy,1130,13,13,2024-07-12,2024-07-31,111234.0,144608.0,Full-time,N,N
799379600,230118DE-12437756-JG,Product Owner,Railroad Retirement Board,Other Agencies and Independent Organizations,2210,14,14,2024-07-11,2024-07-17,104604.0,135987.0,Full-time,N,N
798450200,MCAD241759794777HQ,Program Manager (Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-07-05,2024-07-15,139395.0,191900.0,Full-time,N,Y
798232900,MCAD241762724447,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-07-02,2024-07-16,139395.0,191900.0,Full-time,N,Y
797936400,MCAD241671611412HQ,Program Manager (Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-07-01,2024-07-11,139395.0,191900.0,Full-time,N,Y
798112000,req383,Senior Product Owner #5476,Senate,Legislative Branch,2210,00,00,2024-07-01,2024-07-15,99518.0,168496.0,Full-time,N,N
792891800,MCAD240714794413HQ,PROGRAM MANAGER (DEPUTY PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-05-24,2024-06-03,127073.0,191900.0,Full-time,N,Y
792531800,ST-12423577-24-SRC,LEAD SOFTWARE PRODUCT OWNER,Naval Sea Systems Command,Department of the Navy,0301,13,13,2024-05-23,2024-06-03,115793.0,150535.0,Full-time,N,N
792526700,24-DO-585,Senior Product Manager,"Treasury, Departmental Offices",Department of the Treasury,0301,60,60,2024-05-22,2024-06-05,154057.0,243172.0,Full-time,N,N
