control_number,announcement_number,hiring_agency_code,hiring_agency_name,hiring_department_code,hiring_department_name,hiring_subelement_name,agency_level,agency_level_sort,position_title,minimum_grade,maximum_grade,promotion_potential,appointment_type,work_schedule,service_type,pay_scale,salary_type,minimum_salary,maximum_salary,supervisory_status,travel_requirement,telework_eligible,security_clearance_required,security_clearance,drug_test_required,relocation_expenses_reimbursed,who_may_apply,hiring_paths,total_openings,disable_apply_online,position_open_date,position_close_date,position_expire_date,position_opening_status,announcement_closing_type_code,announcement_closing_type_description,vendor,job_series,locations,raw_data,inserted_at
836027600,25-SLS-12730491-CTAP,OM00,Office of Personnel Management,OM,Other Agencies and Independent Organizations,HR Strategy and Evaluation Solutions,1,Office of Personnel Management,Program Analyst (Product Manager),14,14,None,Permanent,Full-time,Competitive,GS,Per Year,106382.000,138296.000,N,Occasional travel,N,Y,Other,N,N,,Custom announcement,few,N,2025-04-28,2025-05-02,,Applications under review,01,Closing Date,USASTAFFING,0343,"Macon, Georgia, United States | Norfolk, Virginia, United States | Washington, District of Columbia, United States | Location Negotiable After Selection, United States | East Butler, Pennsylvania, United States | Slippery Rock, Pennsylvania, United States | Kansas City, Missouri, United States | Boyers, Pennsylvania, United States | Durham, North Carolina, United States | Philadelphia, Pennsylvania, United States | San Antonio, Texas, United States","{""controlNumber"": 836027600, ""announcementNumber"": ""25-SLS-12730491-CTAP"", ""hiringAgencyCode"": ""OM00"", ""hiringAgencyName"": ""Office of Personnel Management"", ""hiringDepartmentCode"": ""OM"", ""hiringDepartmentName"": ""Other Agencies and Independent Organizations"", ""hiringSubelementName"": ""HR Strategy and Evaluation Solutions"", ""agencyLevel"": 1, ""agencyLevelSort"": ""Office of Personnel Management"", ""positionTitle"": ""Program Analyst (Product Manager)"", ""minimumGrade"": ""14"", ""maximumGrade"": ""14"", ""promotionPotential"": ""None"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Competitive"", ""payScale"": ""GS"", ""salaryType"": ""Per Year"", ""minimumSalary"": 106382.0, ""maximumSalary"": 138296.0, ""supervisoryStatus"": ""N"", ""travelRequirement"": ""Occasional travel"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""Y"", ""securityClearance"": ""Other"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""few"", ""disableApplyOnline"": ""N"", ""positionOpenDate"": ""2025-04-28"", ""positionCloseDate"": ""2025-05-02"", ""positionExpireDate"": null, ""positionOpeningStatus"": ""Applications under review"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""USASTAFFING"", ""hiringPaths"": ""Custom announcement"", ""jobSeries"": ""0343"", ""locations"": ""Macon, Georgia, United States | Norfolk, Virginia, United States | Washington, District of Columbia, United States | Location Negotiable After Selection, United States | East Butler, Pennsylvania, United States | Slippery Rock, Pennsylvania, United States | Kansas City, Missouri, United States | Boyers, Pennsylvania, United States | Durham, North Carolina, United States | Philadelphia, Pennsylvania, United States | San Antonio, Texas, United States""}",2025-06-08 13:32:49.285
833679200,VAR003053,LC00,Library of Congress,LC,Legislative Branch,,2,Legislative Branch\Library of Congress,Product Manager,14,14,14,Permanent,Full-time,Excepted,GS,Per Year,142488.000,185234.000,N,Not required,N,Y,Other,N,N,,Internal to an agency,,N,2025-03-14,2025-03-28,,Applications under review,01,Closing Date,Monster - Hiring Management,0301,"Washington, District of Columbia, United States","{""controlNumber"": 833679200, ""announcementNumber"": ""VAR003053"", ""hiringAgencyCode"": ""LC00"", ""hiringAgencyName"": ""Library of Congress"", ""hiringDepartmentCode"": ""LC"", ""hiringDepartmentName"": ""Legislative Branch"", ""hiringSubelementName"": null, ""agencyLevel"": 2, ""agencyLevelSort"": ""Legislative Branch\\Library of Congress"", ""positionTitle"": ""Product Manager"", ""minimumGrade"": ""14"", ""maximumGrade"": ""14"", ""promotionPotential"": ""14"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Excepted"", ""payScale"": ""GS"", ""salaryType"": ""Per Year"", ""minimumSalary"": 142488.0, ""maximumSalary"": 185234.0, ""supervisoryStatus"": ""N"", ""travelRequirement"": ""Not required"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""Y"", ""securityClearance"": ""Other"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": null, ""disableApplyOnline"": ""N"", ""positionOpenDate"": ""2025-03-14"", ""positionCloseDate"": ""2025-03-28"", ""positionExpireDate"": null, ""positionOpeningStatus"": ""Applications under review"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""Monster - Hiring Management"", ""hiringPaths"": ""Internal to an agency"", ""jobSeries"": ""0301"", ""locations"": ""Washington, District of Columbia, United States""}",2025-06-08 13:26:53.019
832733700,HRM-DE-12698479-JLM,HSBD,Customs and Border Protection,HS,Department of Homeland Security,Office of Human Resources Management,2,Department of Homeland Security\Customs and Border Protection,PRODUCT OWNER (JUNIOR),11,12,12,Permanent,Full-time,Competitive,GS,Per Year,73939.000,115213.000,N,Occasional travel,N,N,Not Required,N,N,,The public,1,N,2025-02-28,2025-03-06,,Applications under review,01,Closing Date,USASTAFFING,0301,"Washington, District of Columbia, United States | Bloomington, Minnesota, United States | Indianapolis, Indiana, United States","{""controlNumber"": 832733700, ""announcementNumber"": ""HRM-DE-12698479-JLM"", ""hiringAgencyCode"": ""HSBD"", ""hiringAgencyName"": ""Customs and Border Protection"", ""hiringDepartmentCode"": ""HS"", ""hiringDepartmentName"": ""Department of Homeland Security"", ""hiringSubelementName"": ""Office of Human Resources Management"", ""agencyLevel"": 2, ""agencyLevelSort"": ""Department of Homeland Security\\Customs and Border Protection"", ""positionTitle"": ""PRODUCT OWNER (JUNIOR)"", ""minimumGrade"": ""11"", ""maximumGrade"": ""12"", ""promotionPotential"": ""12"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Competitive"", ""payScale"": ""GS"", ""salaryType"": ""Per Year"", ""minimumSalary"": 73939.0, ""maximumSalary"": 115213.0, ""supervisoryStatus"": ""N"", ""travelRequirement"": ""Occasional travel"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""N"", ""securityClearance"": ""Not Required"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""1"", ""disableApplyOnline"": ""N"", ""positionOpenDate"": ""2025-02-28"", ""positionCloseDate"": ""2025-03-06"", ""positionExpireDate"": null, ""positionOpeningStatus"": ""Applications under review"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""USASTAFFING"", ""hiringPaths"": ""The public"", ""jobSeries"": ""0301"", ""locations"": ""Washington, District of Columbia, United States | Bloomington, Minnesota, United States | Indianapolis, Indiana, United States""}",2025-06-08 13:25:07.776
826059300,25-DAS-12656279,JL04,Administrative Office of the U.S. Courts,JL,Judicial Branch,"Department of Administrative Services, Administrative Systems Office (ASO)",2,Judicial Branch\Administrative Office of the U.S. Courts,Information Technology Specialist (Product Manager),00,00,00,Permanent,Full-time,Excepted,AD,Per Year,101402.000,190061.000,N,Not required,N,N,Not Required,N,N,,"Veterans, Federal employees - Competitive service, The public, Federal employees - Excepted service",1,N,2025-02-18,2025-03-11,,Applications under review,03,Applicant Cut-Off,USASTAFFING,2210,"Washington, District of Columbia, United States","{""controlNumber"": 826059300, ""announcementNumber"": ""25-DAS-12656279"", ""hiringAgencyCode"": ""JL04"", ""hiringAgencyName"": ""Administrative Office of the U.S. Courts"", ""hiringDepartmentCode"": ""JL"", ""hiringDepartmentName"": ""Judicial Branch"", ""hiringSubelementName"": ""Department of Administrative Services, Administrative Systems Office (ASO)"", ""agencyLevel"": 2, ""agencyLevelSort"": ""Judicial Branch\\Administrative Office of the U.S. Courts"", ""positionTitle"": ""Information Technology Specialist (Product Manager)"", ""minimumGrade"": ""00"", ""maximumGrade"": ""00"", ""promotionPotential"": ""00"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Excepted"", ""payScale"": ""AD"", ""salaryType"": ""Per Year"", ""minimumSalary"": 101402.0, ""maximumSalary"": 190061.0, ""supervisoryStatus"": ""N"", ""travelRequirement"": ""Not required"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""N"", ""securityClearance"": ""Not Required"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""1"", ""disableApplyOnline"": ""N"", ""positionOpenDate"": ""2025-02-18"", ""positionCloseDate"": ""2025-03-11"", ""positionExpireDate"": null, ""positionOpeningStatus"": ""Applications under review"", ""announcementClosingTypeCode"": ""03"", ""announcementClosingTypeDescription"": ""Applicant Cut-Off"", ""vendor"": ""USASTAFFING"", ""hiringPaths"": ""Veterans, Federal employees - Competitive service, The public, Federal employees - Excepted service"", ""jobSeries"": ""2210"", ""locations"": ""Washington, District of Columbia, United States""}",2025-06-08 13:21:52.593
831720500,MCAD251493900340,ARAE,U.S. Army Acquisition Support Center,AR,Department of the Army,,2,Department of the Army\U.S. Army Acquisition Support Center,Acquisition Key Billet Product Manager or  Acquisition Director,14,14,None,Permanent,Full-time,Competitive,GS,Per Year,106382.000,138296.000,Y,50% or less,N,Y,Secret,N,N,,Federal employees - Competitive service,Many,Y,2025-02-18,2025-04-18,,Applications under review,01,Closing Date,USASTAFFING,0340,"Warren, Michigan, United States | Aberdeen Proving Ground, Maryland, United States | Fort Belvoir, Virginia, United States | Huntsville, Alabama, United States","{""controlNumber"": 831720500, ""announcementNumber"": ""MCAD251493900340"", ""hiringAgencyCode"": ""ARAE"", ""hiringAgencyName"": ""U.S. Army Acquisition Support Center"", ""hiringDepartmentCode"": ""AR"", ""hiringDepartmentName"": ""Department of the Army"", ""hiringSubelementName"": null, ""agencyLevel"": 2, ""agencyLevelSort"": ""Department of the Army\\U.S. Army Acquisition Support Center"", ""positionTitle"": ""Acquisition Key Billet Product Manager or  Acquisition Director"", ""minimumGrade"": ""14"", ""maximumGrade"": ""14"", ""promotionPotential"": ""None"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Competitive"", ""payScale"": ""GS"", ""salaryType"": ""Per Year"", ""minimumSalary"": 106382.0, ""maximumSalary"": 138296.0, ""supervisoryStatus"": ""Y"", ""travelRequirement"": ""50% or less"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""Y"", ""securityClearance"": ""Secret"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""Many"", ""disableApplyOnline"": ""Y"", ""positionOpenDate"": ""2025-02-18"", ""positionCloseDate"": ""2025-04-18"", ""positionExpireDate"": null, ""positionOpeningStatus"": ""Applications under review"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""USASTAFFING"", ""hiringPaths"": ""Federal employees - Competitive service"", ""jobSeries"": ""0340"", ""locations"": ""Warren, Michigan, United States | Aberdeen Proving Ground, Maryland, United States | Fort Belvoir, Virginia, United States | Huntsville, Alabama, United States""}",2025-06-08 13:21:53.896
830155600,MCAD256397292536,ARAE,U.S. Army Acquisition Support Center,AR,Department of the Army,PEO Missiles & Space,2,Department of the Army\U.S. Army Acquisition Support Center,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),4,4,None,Permanent,Full-time,Competitive,NH,Per Year,129690.000,195200.000,Y,Occasional travel,N,Y,Secret,N,N,,"Veterans, Military spouses, Federal employees - Competitive service, Land and base management, Career transition (CTAP, ICTAP, RPL)",1,N,2025-02-03,2025-02-14,,Job canceled,01,Closing Date,USASTAFFING,0340,"Redstone Arsenal, Alabama, United States","{""controlNumber"": 830155600, ""announcementNumber"": ""MCAD256397292536"", ""hiringAgencyCode"": ""ARAE"", ""hiringAgencyName"": ""U.S. Army Acquisition Support Center"", ""hiringDepartmentCode"": ""AR"", ""hiringDepartmentName"": ""Department of the Army"", ""hiringSubelementName"": ""PEO Missiles & Space"", ""agencyLevel"": 2, ""agencyLevelSort"": ""Department of the Army\\U.S. Army Acquisition Support Center"", ""positionTitle"": ""PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION)"", ""minimumGrade"": ""4"", ""maximumGrade"": ""4"", ""promotionPotential"": ""None"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Competitive"", ""payScale"": ""NH"", ""salaryType"": ""Per Year"", ""minimumSalary"": 129690.0, ""maximumSalary"": 195200.0, ""supervisoryStatus"": ""Y"", ""travelRequirement"": ""Occasional travel"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""Y"", ""securityClearance"": ""Secret"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""1"", ""disableApplyOnline"": ""N"", ""positionOpenDate"": ""2025-02-03"", ""positionCloseDate"": ""2025-02-14"", ""positionExpireDate"": null, ""positionOpeningStatus"": ""Job canceled"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""USASTAFFING"", ""hiringPaths"": ""Veterans, Military spouses, Federal employees - Competitive service, Land and base management, Career transition (CTAP, ICTAP, RPL)"", ""jobSeries"": ""0340"", ""locations"": ""Redstone Arsenal, Alabama, United States""}",2025-06-08 13:18:09.346
828408300,25-CD-00487-12670552-DHR,Other Agencies and Independent Organizations,Other Agencies and Independent Organizations,DN,Department of Energy,Office of Clean Energy Demonstrations (OCED),1,Department of Energy,Data Product Manager,13,13,None,Permanent,Full-time,Competitive,GS,Per Year,105383.000,156755.000,N,Occasional travel,N,Y,Other,N,N,,The public,1,N,2025-01-16,2025-01-20,,Candidate selected,01,Closing Date,USASTAFFING,0343,"Anywhere in the U.S. (remote job), United States","{""controlNumber"": 828408300, ""announcementNumber"": ""25-CD-00487-12670552-DHR"", ""hiringAgencyCode"": ""Other Agencies and Independent Organizations"", ""hiringAgencyName"": ""Other Agencies and Independent Organizations"", ""hiringDepartmentCode"": ""DN"", ""hiringDepartmentName"": ""Department of Energy"", ""hiringSubelementName"": ""Office of Clean Energy Demonstrations (OCED)"", ""agencyLevel"": 1, ""agencyLevelSort"": ""Department of Energy"", ""positionTitle"": ""Data Product Manager"", ""minimumGrade"": ""13"", ""maximumGrade"": ""13"", ""promotionPotential"": ""None"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Competitive"", ""payScale"": ""GS"", ""salaryType"": ""Per Year"", ""minimumSalary"": 105383.0, ""maximumSalary"": 156755.0, ""supervisoryStatus"": ""N"", ""travelRequirement"": ""Occasional travel"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""Y"", ""securityClearance"": ""Other"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""1"", ""disableApplyOnline"": ""N"", ""positionOpenDate"": ""2025-01-16"", ""positionCloseDate"": ""2025-01-20"", ""positionExpireDate"": null, ""positionOpeningStatus"": ""Candidate selected"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""USASTAFFING"", ""hiringPaths"": ""The public"", ""jobSeries"": ""0343"", ""locations"": ""Anywhere in the U.S. (remote job), United States""}",2025-06-08 13:14:32.837
828085300,25-BEP-12667676,TRAI,Bureau of Engraving and Printing,TR,Department of the Treasury,,2,Department of the Treasury\Bureau of Engraving and Printing,Program Manager (Currency Product Manager),14,14,14,Permanent,Full-time,Competitive,GS,Per Year,135382.000,185234.000,N,Occasional travel,N,N,Not Required,N,N,,"Peace Corps & AmeriCorps Vista, Federal employees - Competitive service, Military spouses, Individuals with disabilities, Family of overseas employees, Veterans, Special authorities, Career transition (CTAP, ICTAP, RPL), Land and base management",1,N,2025-01-15,2025-01-29,2025-01-21,Applications under review,01,Closing Date,USASTAFFING,0340,"Washington, District of Columbia, United States | Fort Worth, Texas, United States","{""controlNumber"": 828085300, ""announcementNumber"": ""25-BEP-12667676"", ""hiringAgencyCode"": ""TRAI"", ""hiringAgencyName"": ""Bureau of Engraving and Printing"", ""hiringDepartmentCode"": ""TR"", ""hiringDepartmentName"": ""Department of the Treasury"", ""hiringSubelementName"": null, ""agencyLevel"": 2, ""agencyLevelSort"": ""Department of the Treasury\\Bureau of Engraving and Printing"", ""positionTitle"": ""Program Manager (Currency Product Manager)"", ""minimumGrade"": ""14"", ""maximumGrade"": ""14"", ""promotionPotential"": ""14"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Competitive"", ""payScale"": ""GS"", ""salaryType"": ""Per Year"", ""minimumSalary"": 135382.0, ""maximumSalary"": 185234.0, ""supervisoryStatus"": ""N"", ""travelRequirement"": ""Occasional travel"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""N"", ""securityClearance"": ""Not Required"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""1"", ""disableApplyOnline"": ""N"", ""positionOpenDate"": ""2025-01-15"", ""positionCloseDate"": ""2025-01-29"", ""positionExpireDate"": ""2025-01-21"", ""positionOpeningStatus"": ""Applications under review"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""USASTAFFING"", ""hiringPaths"": ""Peace Corps & AmeriCorps Vista, Federal employees - Competitive service, Military spouses, Individuals with disabilities, Family of overseas employees, Veterans, Special authorities, Career transition (CTAP, ICTAP, RPL), Land and base management"", ""jobSeries"": ""0340"", ""locations"": ""Washington, District of Columbia, United States | Fort Worth, Texas, United States""}",2025-06-08 13:14:27.971
828085100,25-BEP-12667675-P,TRAI,Bureau of Engraving and Printing,TR,Department of the Treasury,,2,Department of the Treasury\Bureau of Engraving and Printing,Program Manager (Currency Product Manager),14,14,14,Permanent,Full-time,Competitive,GS,Per Year,135382.000,185234.000,N,Occasional travel,N,N,Not Required,N,N,,The public,1,N,2025-01-15,2025-01-29,2025-01-21,Job canceled,01,Closing Date,USASTAFFING,0340,"Washington, District of Columbia, United States | Fort Worth, Texas, United States","{""controlNumber"": 828085100, ""announcementNumber"": ""25-BEP-12667675-P"", ""hiringAgencyCode"": ""TRAI"", ""hiringAgencyName"": ""Bureau of Engraving and Printing"", ""hiringDepartmentCode"": ""TR"", ""hiringDepartmentName"": ""Department of the Treasury"", ""hiringSubelementName"": null, ""agencyLevel"": 2, ""agencyLevelSort"": ""Department of the Treasury\\Bureau of Engraving and Printing"", ""positionTitle"": ""Program Manager (Currency Product Manager)"", ""minimumGrade"": ""14"", ""maximumGrade"": ""14"", ""promotionPotential"": ""14"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Competitive"", ""payScale"": ""GS"", ""salaryType"": ""Per Year"", ""minimumSalary"": 135382.0, ""maximumSalary"": 185234.0, ""supervisoryStatus"": ""N"", ""travelRequirement"": ""Occasional travel"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""N"", ""securityClearance"": ""Not Required"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""1"", ""disableApplyOnline"": ""N"", ""positionOpenDate"": ""2025-01-15"", ""positionCloseDate"": ""2025-01-29"", ""positionExpireDate"": ""2025-01-21"", ""positionOpeningStatus"": ""Job canceled"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""USASTAFFING"", ""hiringPaths"": ""The public"", ""jobSeries"": ""0340"", ""locations"": ""Washington, District of Columbia, United States | Fort Worth, Texas, United States""}",2025-06-08 13:14:27.968
827836800,25-FS-233-MPA,TRFD,Bureau of the Fiscal Service,TR,Department of the Treasury,,2,Department of the Treasury\Bureau of the Fiscal Service,Business Systems Analyst (Product Owner),13,13,13,Permanent,Full-time,Competitive,GS,Per Year,105383.000,156755.000,N,Not required,N,N,Not Required,N,N,,"Career transition (CTAP, ICTAP, RPL), Internal to an agency",1,N,2025-01-14,2025-01-23,2025-01-21,Applications under review,01,Closing Date,USASTAFFING,0501,"Austin, Texas, United States | Kansas City, Missouri, United States | Philadelphia, Pennsylvania, United States | Hyattsville, Maryland, United States | Washington, District of Columbia, United States | Parkersburg, West Virginia, United States | Birmingham, Alabama, United States","{""controlNumber"": 827836800, ""announcementNumber"": ""25-FS-233-MPA"", ""hiringAgencyCode"": ""TRFD"", ""hiringAgencyName"": ""Bureau of the Fiscal Service"", ""hiringDepartmentCode"": ""TR"", ""hiringDepartmentName"": ""Department of the Treasury"", ""hiringSubelementName"": null, ""agencyLevel"": 2, ""agencyLevelSort"": ""Department of the Treasury\\Bureau of the Fiscal Service"", ""positionTitle"": ""Business Systems Analyst (Product Owner)"", ""minimumGrade"": ""13"", ""maximumGrade"": ""13"", ""promotionPotential"": ""13"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Competitive"", ""payScale"": ""GS"", ""salaryType"": ""Per Year"", ""minimumSalary"": 105383.0, ""maximumSalary"": 156755.0, ""supervisoryStatus"": ""N"", ""travelRequirement"": ""Not required"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""N"", ""securityClearance"": ""Not Required"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""1"", ""disableApplyOnline"": ""N"", ""positionOpenDate"": ""2025-01-14"", ""positionCloseDate"": ""2025-01-23"", ""positionExpireDate"": ""2025-01-21"", ""positionOpeningStatus"": ""Applications under review"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""USASTAFFING"", ""hiringPaths"": ""Career transition (CTAP, ICTAP, RPL), Internal to an agency"", ""jobSeries"": ""0501"", ""locations"": ""Austin, Texas, United States | Kansas City, Missouri, United States | Philadelphia, Pennsylvania, United States | Hyattsville, Maryland, United States | Washington, District of Columbia, United States | Parkersburg, West Virginia, United States | Birmingham, Alabama, United States""}",2025-06-08 13:12:40.429
