control_number,announcement_number,hiring_agency_code,hiring_agency_name,hiring_department_code,hiring_department_name,hiring_subelement_name,agency_level,agency_level_sort,position_title,minimum_grade,maximum_grade,promotion_potential,appointment_type,work_schedule,service_type,pay_scale,salary_type,minimum_salary,maximum_salary,supervisory_status,travel_requirement,telework_eligible,security_clearance_required,security_clearance,drug_test_required,relocation_expenses_reimbursed,who_may_apply,hiring_paths,total_openings,disable_apply_online,position_open_date,position_close_date,position_expire_date,position_opening_status,announcement_closing_type_code,announcement_closing_type_description,vendor,job_series,locations,raw_data,inserted_at
768823200,MCAD247772572609HW,ARAE,U.S. Army Acquisition Support Center,AR,Department of the Army,,2,Department of the Army\U.S. Army Acquisition Support Center,Program Manager (Deputy Product Manager Acquisition),4,4,None,Permanent,Full-time,Competitive,NH,Per Year,139395.000,191900.000,Y,50% or less,N,Y,Top Secret,N,N,,"The public, Career transition (CTAP, ICTAP, RPL)",2,N,2024-01-05,2024-01-09,,Candidate selected,01,Closing Date,USASTAFFING,0340,"Fort Detrick, Maryland, United States","{""controlNumber"": 768823200, ""announcementNumber"": ""MCAD247772572609HW"", ""hiringAgencyCode"": ""ARAE"", ""hiringAgencyName"": ""U.S. Army Acquisition Support Center"", ""hiringDepartmentCode"": ""AR"", ""hiringDepartmentName"": ""Department of the Army"", ""hiringSubelementName"": null, ""agencyLevel"": 2, ""agencyLevelSort"": ""Department of the Army\\U.S. Army Acquisition Support Center"", ""positionTitle"": ""Program Manager (Deputy Product Manager Acquisition)"", ""minimumGrade"": ""4"", ""maximumGrade"": ""4"", ""promotionPotential"": ""None"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Competitive"", ""payScale"": ""NH"", ""salaryType"": ""Per Year"", ""minimumSalary"": 139395.0, ""maximumSalary"": 191900.0, ""supervisoryStatus"": ""Y"", ""travelRequirement"": ""50% or less"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""Y"", ""securityClearance"": ""Top Secret"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""2"", ""disableApplyOnline"": ""N"", ""positionOpenDate"": ""2024-01-05"", ""positionCloseDate"": ""2024-01-09"", ""positionExpireDate"": null, ""positionOpeningStatus"": ""Candidate selected"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""USASTAFFING"", ""hiringPaths"": ""The public, Career transition (CTAP, ICTAP, RPL)"", ""jobSeries"": ""0340"", ""locations"": ""Fort Detrick, Maryland, United States""}",2025-06-07 20:01:14.302
768848800,MCAD247921223748,ARAE,U.S. Army Acquisition Support Center,AR,Department of the Army,"PEO CS&CSS, FPH",2,Department of the Army\U.S. Army Acquisition Support Center,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),4,4,None,Permanent,Full-time,Competitive,NH,Per Year,128252.000,183500.000,Y,25% or less,N,Y,Secret,N,N,,"Veterans, Military spouses, Federal employees - Competitive service, Land and base management, Career transition (CTAP, ICTAP, RPL), Internal to an agency",1,N,2024-01-05,2024-01-11,,Candidate selected,01,Closing Date,USASTAFFING,0340,"Warren, Michigan, United States","{""controlNumber"": 768848800, ""announcementNumber"": ""MCAD247921223748"", ""hiringAgencyCode"": ""ARAE"", ""hiringAgencyName"": ""U.S. Army Acquisition Support Center"", ""hiringDepartmentCode"": ""AR"", ""hiringDepartmentName"": ""Department of the Army"", ""hiringSubelementName"": ""PEO CS&CSS, FPH"", ""agencyLevel"": 2, ""agencyLevelSort"": ""Department of the Army\\U.S. Army Acquisition Support Center"", ""positionTitle"": ""PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION)"", ""minimumGrade"": ""4"", ""maximumGrade"": ""4"", ""promotionPotential"": ""None"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Competitive"", ""payScale"": ""NH"", ""salaryType"": ""Per Year"", ""minimumSalary"": 128252.0, ""maximumSalary"": 183500.0, ""supervisoryStatus"": ""Y"", ""travelRequirement"": ""25% or less"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""Y"", ""securityClearance"": ""Secret"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""1"", ""disableApplyOnline"": ""N"", ""positionOpenDate"": ""2024-01-05"", ""positionCloseDate"": ""2024-01-11"", ""positionExpireDate"": null, ""positionOpeningStatus"": ""Candidate selected"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""USASTAFFING"", ""hiringPaths"": ""Veterans, Military spouses, Federal employees - Competitive service, Land and base management, Career transition (CTAP, ICTAP, RPL), Internal to an agency"", ""jobSeries"": ""0340"", ""locations"": ""Warren, Michigan, United States""}",2025-06-07 20:01:14.446
769331300,20240126,DD11,National Geospatial-Intelligence Agency,DD,Department of Defense,,2,Department of Defense\National Geospatial-Intelligence Agency,Product Manager,04,04,4,Permanent,Full-time,Excepted,IA,Per Year,100694.000,172075.000,N,Occasional travel,N,Y,Sensitive Compartmented Information,N,N,,The public,Many,Y,2024-01-08,2024-01-20,,Job closed,01,Closing Date,NGA eRecruit (PeopleSoft),2210,"Springfield, Virginia, United States | Saint Louis, Missouri, United States","{""controlNumber"": 769331300, ""announcementNumber"": ""20240126"", ""hiringAgencyCode"": ""DD11"", ""hiringAgencyName"": ""National Geospatial-Intelligence Agency"", ""hiringDepartmentCode"": ""DD"", ""hiringDepartmentName"": ""Department of Defense"", ""hiringSubelementName"": null, ""agencyLevel"": 2, ""agencyLevelSort"": ""Department of Defense\\National Geospatial-Intelligence Agency"", ""positionTitle"": ""Product Manager"", ""minimumGrade"": ""04"", ""maximumGrade"": ""04"", ""promotionPotential"": ""4"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Excepted"", ""payScale"": ""IA"", ""salaryType"": ""Per Year"", ""minimumSalary"": 100694.0, ""maximumSalary"": 172075.0, ""supervisoryStatus"": ""N"", ""travelRequirement"": ""Occasional travel"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""Y"", ""securityClearance"": ""Sensitive Compartmented Information"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""Many"", ""disableApplyOnline"": ""Y"", ""positionOpenDate"": ""2024-01-08"", ""positionCloseDate"": ""2024-01-20"", ""positionExpireDate"": null, ""positionOpeningStatus"": ""Job closed"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""NGA eRecruit (PeopleSoft)"", ""hiringPaths"": ""The public"", ""jobSeries"": ""2210"", ""locations"": ""Springfield, Virginia, United States | Saint Louis, Missouri, United States""}",2025-06-07 20:02:24.913
772496500,MCAD248209628493HW,ARAE,U.S. Army Acquisition Support Center,AR,Department of the Army,"Program Executive Office, Command Control Communications-Tactical (PEO C3T)",2,Department of the Army\U.S. Army Acquisition Support Center,Program Manager (Deputy Product Manager Acquisition),4,4,None,Permanent,Full-time,Competitive,NH,Per Year,139395.000,191900.000,Y,50% or less,N,Y,Secret,N,N,,The public,1,N,2024-01-24,2024-01-29,,Candidate selected,01,Closing Date,USASTAFFING,0340,"Aberdeen Proving Ground, Maryland, United States","{""controlNumber"": 772496500, ""announcementNumber"": ""MCAD248209628493HW"", ""hiringAgencyCode"": ""ARAE"", ""hiringAgencyName"": ""U.S. Army Acquisition Support Center"", ""hiringDepartmentCode"": ""AR"", ""hiringDepartmentName"": ""Department of the Army"", ""hiringSubelementName"": ""Program Executive Office, Command Control Communications-Tactical (PEO C3T)"", ""agencyLevel"": 2, ""agencyLevelSort"": ""Department of the Army\\U.S. Army Acquisition Support Center"", ""positionTitle"": ""Program Manager (Deputy Product Manager Acquisition)"", ""minimumGrade"": ""4"", ""maximumGrade"": ""4"", ""promotionPotential"": ""None"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Competitive"", ""payScale"": ""NH"", ""salaryType"": ""Per Year"", ""minimumSalary"": 139395.0, ""maximumSalary"": 191900.0, ""supervisoryStatus"": ""Y"", ""travelRequirement"": ""50% or less"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""Y"", ""securityClearance"": ""Secret"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""1"", ""disableApplyOnline"": ""N"", ""positionOpenDate"": ""2024-01-24"", ""positionCloseDate"": ""2024-01-29"", ""positionExpireDate"": null, ""positionOpeningStatus"": ""Candidate selected"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""USASTAFFING"", ""hiringPaths"": ""The public"", ""jobSeries"": ""0340"", ""locations"": ""Aberdeen Proving Ground, Maryland, United States""}",2025-06-07 20:36:03.818
772840400,MCAD248271431505,ARAE,U.S. Army Acquisition Support Center,AR,Department of the Army,PEO M & S Strategic Operations Rockets And MSLS Field Artillery Launchers Product Office,2,Department of the Army\U.S. Army Acquisition Support Center,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),4,4,None,Permanent,Full-time,Competitive,NH,Per Year,127073.000,165197.000,Y,25% or less,N,Y,Secret,N,N,,"The public, Military spouses",1,N,2024-01-25,2024-02-09,,Candidate selected,01,Closing Date,USASTAFFING,0340,"Redstone Arsenal, Alabama, United States","{""controlNumber"": 772840400, ""announcementNumber"": ""MCAD248271431505"", ""hiringAgencyCode"": ""ARAE"", ""hiringAgencyName"": ""U.S. Army Acquisition Support Center"", ""hiringDepartmentCode"": ""AR"", ""hiringDepartmentName"": ""Department of the Army"", ""hiringSubelementName"": ""PEO M & S Strategic Operations Rockets And MSLS Field Artillery Launchers Product Office"", ""agencyLevel"": 2, ""agencyLevelSort"": ""Department of the Army\\U.S. Army Acquisition Support Center"", ""positionTitle"": ""PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION)"", ""minimumGrade"": ""4"", ""maximumGrade"": ""4"", ""promotionPotential"": ""None"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Competitive"", ""payScale"": ""NH"", ""salaryType"": ""Per Year"", ""minimumSalary"": 127073.0, ""maximumSalary"": 165197.0, ""supervisoryStatus"": ""Y"", ""travelRequirement"": ""25% or less"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""Y"", ""securityClearance"": ""Secret"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""1"", ""disableApplyOnline"": ""N"", ""positionOpenDate"": ""2024-01-25"", ""positionCloseDate"": ""2024-02-09"", ""positionExpireDate"": null, ""positionOpeningStatus"": ""Candidate selected"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""USASTAFFING"", ""hiringPaths"": ""The public, Military spouses"", ""jobSeries"": ""0340"", ""locations"": ""Redstone Arsenal, Alabama, United States""}",2025-06-07 20:36:10.59
773749500,CMS-OEDA-24-12297248-IT,HE70,Centers for Medicare & Medicaid Services,HE,Department of Health and Human Services,Office of Enterprise Data and Analytics (OEDA),2,Department of Health and Human Services\Centers for Medicare & Medicaid Services,IT Specialist (System Analysis) (Product Manager),13,13,13,Permanent,Full-time,Competitive,GS,Per Year,88520.000,115079.000,N,Occasional travel,N,N,Not Required,N,N,,"Land and base management, Career transition (CTAP, ICTAP, RPL), Veterans",1,N,2024-01-31,2024-02-06,,Candidate selected,01,Closing Date,USASTAFFING,2210,"Anywhere in the U.S. (remote job), United States","{""controlNumber"": 773749500, ""announcementNumber"": ""CMS-OEDA-24-12297248-IT"", ""hiringAgencyCode"": ""HE70"", ""hiringAgencyName"": ""Centers for Medicare & Medicaid Services"", ""hiringDepartmentCode"": ""HE"", ""hiringDepartmentName"": ""Department of Health and Human Services"", ""hiringSubelementName"": ""Office of Enterprise Data and Analytics (OEDA)"", ""agencyLevel"": 2, ""agencyLevelSort"": ""Department of Health and Human Services\\Centers for Medicare & Medicaid Services"", ""positionTitle"": ""IT Specialist (System Analysis) (Product Manager)"", ""minimumGrade"": ""13"", ""maximumGrade"": ""13"", ""promotionPotential"": ""13"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Competitive"", ""payScale"": ""GS"", ""salaryType"": ""Per Year"", ""minimumSalary"": 88520.0, ""maximumSalary"": 115079.0, ""supervisoryStatus"": ""N"", ""travelRequirement"": ""Occasional travel"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""N"", ""securityClearance"": ""Not Required"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""1"", ""disableApplyOnline"": ""N"", ""positionOpenDate"": ""2024-01-31"", ""positionCloseDate"": ""2024-02-06"", ""positionExpireDate"": null, ""positionOpeningStatus"": ""Candidate selected"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""USASTAFFING"", ""hiringPaths"": ""Land and base management, Career transition (CTAP, ICTAP, RPL), Veterans"", ""jobSeries"": ""2210"", ""locations"": ""Anywhere in the U.S. (remote job), United States""}",2025-06-07 20:38:22.49
774086500,24-BEP-127-P,TRAI,Bureau of Engraving and Printing,TR,Department of the Treasury,,2,Department of the Treasury\Bureau of Engraving and Printing,Program Manager (Currency Product Manager),14,14,14,Permanent,Full-time,Competitive,GS,Per Year,132753.000,181216.000,N,50% or less,N,N,Not Required,N,N,,The public,2,N,2024-02-02,2024-02-15,,Candidate selected,01,Closing Date,USASTAFFING,0340,"District of Columbia, District of Columbia, United States | Fort Worth, Texas, United States","{""controlNumber"": 774086500, ""announcementNumber"": ""24-BEP-127-P"", ""hiringAgencyCode"": ""TRAI"", ""hiringAgencyName"": ""Bureau of Engraving and Printing"", ""hiringDepartmentCode"": ""TR"", ""hiringDepartmentName"": ""Department of the Treasury"", ""hiringSubelementName"": null, ""agencyLevel"": 2, ""agencyLevelSort"": ""Department of the Treasury\\Bureau of Engraving and Printing"", ""positionTitle"": ""Program Manager (Currency Product Manager)"", ""minimumGrade"": ""14"", ""maximumGrade"": ""14"", ""promotionPotential"": ""14"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Competitive"", ""payScale"": ""GS"", ""salaryType"": ""Per Year"", ""minimumSalary"": 132753.0, ""maximumSalary"": 181216.0, ""supervisoryStatus"": ""N"", ""travelRequirement"": ""50% or less"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""N"", ""securityClearance"": ""Not Required"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""2"", ""disableApplyOnline"": ""N"", ""positionOpenDate"": ""2024-02-02"", ""positionCloseDate"": ""2024-02-15"", ""positionExpireDate"": null, ""positionOpeningStatus"": ""Candidate selected"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""USASTAFFING"", ""hiringPaths"": ""The public"", ""jobSeries"": ""0340"", ""locations"": ""District of Columbia, District of Columbia, United States | Fort Worth, Texas, United States""}",2025-06-07 20:38:30.945
774086900,24-BEP-115,TRAI,Bureau of Engraving and Printing,TR,Department of the Treasury,,2,Department of the Treasury\Bureau of Engraving and Printing,Program Manager (Currency Product Manager),14,14,14,Permanent,Full-time,Competitive,GS,Per Year,132753.000,181216.000,N,50% or less,N,N,Not Required,N,N,,"Land and base management, Career transition (CTAP, ICTAP, RPL), Special authorities, Family of overseas employees, Military spouses, Veterans, Individuals with disabilities, Federal employees - Competitive service, Peace Corps & AmeriCorps Vista",2,N,2024-02-02,2024-02-15,,Candidate selected,01,Closing Date,USASTAFFING,0340,"District of Columbia, District of Columbia, United States | Fort Worth, Texas, United States","{""controlNumber"": 774086900, ""announcementNumber"": ""24-BEP-115"", ""hiringAgencyCode"": ""TRAI"", ""hiringAgencyName"": ""Bureau of Engraving and Printing"", ""hiringDepartmentCode"": ""TR"", ""hiringDepartmentName"": ""Department of the Treasury"", ""hiringSubelementName"": null, ""agencyLevel"": 2, ""agencyLevelSort"": ""Department of the Treasury\\Bureau of Engraving and Printing"", ""positionTitle"": ""Program Manager (Currency Product Manager)"", ""minimumGrade"": ""14"", ""maximumGrade"": ""14"", ""promotionPotential"": ""14"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Competitive"", ""payScale"": ""GS"", ""salaryType"": ""Per Year"", ""minimumSalary"": 132753.0, ""maximumSalary"": 181216.0, ""supervisoryStatus"": ""N"", ""travelRequirement"": ""50% or less"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""N"", ""securityClearance"": ""Not Required"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""2"", ""disableApplyOnline"": ""N"", ""positionOpenDate"": ""2024-02-02"", ""positionCloseDate"": ""2024-02-15"", ""positionExpireDate"": null, ""positionOpeningStatus"": ""Candidate selected"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""USASTAFFING"", ""hiringPaths"": ""Land and base management, Career transition (CTAP, ICTAP, RPL), Special authorities, Family of overseas employees, Military spouses, Veterans, Individuals with disabilities, Federal employees - Competitive service, Peace Corps & AmeriCorps Vista"", ""jobSeries"": ""0340"", ""locations"": ""District of Columbia, District of Columbia, United States | Fort Worth, Texas, United States""}",2025-06-07 20:38:30.948
776331500,CMS-CCSQ-24-12310566-DE,HE70,Centers for Medicare & Medicaid Services,HE,Department of Health and Human Services,Center for Clinical Standards and Quality.,2,Department of Health and Human Services\Centers for Medicare & Medicaid Services,Product Development Specialist (Product Mgr),13,13,13,Permanent,Full-time,Competitive,GS,Per Year,88520.000,115079.000,N,Occasional travel,N,N,Not Required,N,N,,"Career transition (CTAP, ICTAP, RPL), The public",2,N,2024-02-13,2024-02-20,,Job canceled,01,Closing Date,USASTAFFING,0301,"Atlanta, Georgia, United States | Woodlawn, Maryland, United States | Boston, Massachusetts, United States | San Francisco, California, United States | Seattle, Washington, United States | Chicago, Illinois, United States | Denver, Colorado, United States | Kansas City, Missouri, United States | Dallas, Texas, United States | Philadelphia, Pennsylvania, United States | New York, New York, United States","{""controlNumber"": 776331500, ""announcementNumber"": ""CMS-CCSQ-24-12310566-DE"", ""hiringAgencyCode"": ""HE70"", ""hiringAgencyName"": ""Centers for Medicare & Medicaid Services"", ""hiringDepartmentCode"": ""HE"", ""hiringDepartmentName"": ""Department of Health and Human Services"", ""hiringSubelementName"": ""Center for Clinical Standards and Quality."", ""agencyLevel"": 2, ""agencyLevelSort"": ""Department of Health and Human Services\\Centers for Medicare & Medicaid Services"", ""positionTitle"": ""Product Development Specialist (Product Mgr)"", ""minimumGrade"": ""13"", ""maximumGrade"": ""13"", ""promotionPotential"": ""13"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Competitive"", ""payScale"": ""GS"", ""salaryType"": ""Per Year"", ""minimumSalary"": 88520.0, ""maximumSalary"": 115079.0, ""supervisoryStatus"": ""N"", ""travelRequirement"": ""Occasional travel"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""N"", ""securityClearance"": ""Not Required"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""2"", ""disableApplyOnline"": ""N"", ""positionOpenDate"": ""2024-02-13"", ""positionCloseDate"": ""2024-02-20"", ""positionExpireDate"": null, ""positionOpeningStatus"": ""Job canceled"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""USASTAFFING"", ""hiringPaths"": ""Career transition (CTAP, ICTAP, RPL), The public"", ""jobSeries"": ""0301"", ""locations"": ""Atlanta, Georgia, United States | Woodlawn, Maryland, United States | Boston, Massachusetts, United States | San Francisco, California, United States | Seattle, Washington, United States | Chicago, Illinois, United States | Denver, Colorado, United States | Kansas City, Missouri, United States | Dallas, Texas, United States | Philadelphia, Pennsylvania, United States | New York, New York, United States""}",2025-06-07 20:44:05.514
776468200,MCAD248331838840HW,ARAE,U.S. Army Acquisition Support Center,AR,Department of the Army,"Program Executive Office Intelligence, Electronic Warfare, and Sensors (PEO IEW&S)",2,Department of the Army\U.S. Army Acquisition Support Center,Program Manager (Deputy Product Manager Acquisition),4,4,None,Permanent,Full-time,Competitive,NH,Per Year,139395.000,191900.000,Y,50% or less,N,Y,Top Secret,N,N,,The public,1,N,2024-02-14,2024-02-21,,Candidate selected,01,Closing Date,USASTAFFING,0340,"Fort Belvoir, Virginia, United States","{""controlNumber"": 776468200, ""announcementNumber"": ""MCAD248331838840HW"", ""hiringAgencyCode"": ""ARAE"", ""hiringAgencyName"": ""U.S. Army Acquisition Support Center"", ""hiringDepartmentCode"": ""AR"", ""hiringDepartmentName"": ""Department of the Army"", ""hiringSubelementName"": ""Program Executive Office Intelligence, Electronic Warfare, and Sensors (PEO IEW&S)"", ""agencyLevel"": 2, ""agencyLevelSort"": ""Department of the Army\\U.S. Army Acquisition Support Center"", ""positionTitle"": ""Program Manager (Deputy Product Manager Acquisition)"", ""minimumGrade"": ""4"", ""maximumGrade"": ""4"", ""promotionPotential"": ""None"", ""appointmentType"": ""Permanent"", ""workSchedule"": ""Full-time"", ""serviceType"": ""Competitive"", ""payScale"": ""NH"", ""salaryType"": ""Per Year"", ""minimumSalary"": 139395.0, ""maximumSalary"": 191900.0, ""supervisoryStatus"": ""Y"", ""travelRequirement"": ""50% or less"", ""teleworkEligible"": ""N"", ""securityClearanceRequired"": ""Y"", ""securityClearance"": ""Top Secret"", ""drugTestRequired"": ""N"", ""relocationExpensesReimbursed"": ""N"", ""whoMayApply"": null, ""totalOpenings"": ""1"", ""disableApplyOnline"": ""N"", ""positionOpenDate"": ""2024-02-14"", ""positionCloseDate"": ""2024-02-21"", ""positionExpireDate"": null, ""positionOpeningStatus"": ""Candidate selected"", ""announcementClosingTypeCode"": ""01"", ""announcementClosingTypeDescription"": ""Closing Date"", ""vendor"": ""USASTAFFING"", ""hiringPaths"": ""The public"", ""jobSeries"": ""0340"", ""locations"": ""Fort Belvoir, Virginia, United States""}",2025-06-07 20:44:08.945
