service_type,position_location,occupation_series,occupation_name,grade_code,low_grade,high_grade,usajobs_control_number,position_title,hiring_agency,position_open_date,position_close_date,occupation_full,grade_level
Competitive,"Gregg Township, Pennsylvania",0006,Correctional Institution Administration,GS-12,12,12,844112500,Correctional Program Officer (Unit Manager),Department of Justice,2025-08-22 13:25:53.223,2025-09-15T23:59:59.9970,0006 - Correctional Institution Administration,GS-12
Competitive,"Washington, District of Columbia",0006,Correctional Institution Administration,GS-15,15,15,844263100,Correctional Program Officer (Administrator Program Review Branch),Department of Justice,2025-08-25 00:00:00.000,2025-09-16T23:59:59.9970,0006 - Correctional Institution Administration,GS-15
Competitive,"Waseca, Minnesota",0006,Correctional Institution Administration,GS-11/12,11,12,844314200,Correctional Program Officer (Unit Manager),Department of Justice,2025-08-26 11:02:03.027,2025-09-17T23:59:59.9970,0006 - Correctional Institution Administration,GS-11/12
Competitive,"Victorville, California",0006,Correctional Institution Administration,GS-12,12,12,844454000,Correctional Program Specialist (Special Investigative Agent),Department of Justice,2025-08-27 12:45:11.213,2025-09-18T23:59:59.9970,0006 - Correctional Institution Administration,GS-12
Competitive,"Otisville, New York",0006,Correctional Institution Administration,GS-12,12,12,844459700,Correctional Program Officer (Unit Manager),Department of Justice,2025-08-27 13:25:18.357,2025-09-18T23:59:59.9970,0006 - Correctional Institution Administration,GS-12
Competitive,"Cincinnati, Ohio",0006,Correctional Institution Administration,GS-12,12,12,844481600,Correctional Program Specialist (Contract Oversight Specialist),Department of Justice,2025-08-27 14:51:51.447,2025-09-18T23:59:59.9970,0006 - Correctional Institution Administration,GS-12
Competitive,"Tallahassee, Florida",0006,Correctional Institution Administration,GS-12,12,12,844482300,Correctional Program Specialist (Special Investigative Agent),Department of Justice,2025-08-27 14:56:36.280,2025-09-18T23:59:59.9970,0006 - Correctional Institution Administration,GS-12
Competitive,"Beaumont, Texas",0006,Correctional Institution Administration,GS-12,12,12,844534900,Correctional Program Specialist (Discipline Hearing Officer),Department of Justice,2025-08-28 08:37:09.010,2025-09-19T23:59:59.9970,0006 - Correctional Institution Administration,GS-12
Competitive,"San Antonio, Texas",0006,Correctional Institution Administration,GS-12,12,12,844568800,Correctional Program Specialist (Contract Oversight Specialist),Department of Justice,2025-08-28 11:27:44.287,2025-09-19T23:59:59.9970,0006 - Correctional Institution Administration,GS-12
Competitive,"Miami-Dade County, Florida",0006,Correctional Institution Administration,GS-09/11,09,11,844628600,Correctional Program Specialist (Supervisory Correctional Systems Specialist),Department of Justice,2025-08-28 15:40:20.557,2025-09-19T23:59:59.9970,0006 - Correctional Institution Administration,GS-09/11
Competitive,"Seattle, Washington",0006,Correctional Institution Administration,GS-12,12,12,844790300,Correctional Program Specialist (Contract Oversight Specialist),Department of Justice,2025-09-02 12:56:29.770,2025-09-23T23:59:59.9970,0006 - Correctional Institution Administration,GS-12
Competitive,"Yazoo City, Mississippi",0006,Correctional Institution Administration,GS-12,12,12,844790700,Correctional Program Specialist (Special Investigative Agent),Department of Justice,2025-09-02 13:01:25.567,2025-09-23T23:59:59.9970,0006 - Correctional Institution Administration,GS-12
Competitive,"Bastrop, Texas",0006,Correctional Institution Administration,GS-12,12,12,844864100,Correctional Program Officer (Unit Manager),Department of Justice,2025-09-03 09:30:41.603,2025-09-24T23:59:59.9970,0006 - Correctional Institution Administration,GS-12
Competitive,"Leavenworth, Kansas",0006,Correctional Institution Administration,GS-11/12,11,12,844928100,Correctional Program Officer (Unit Manager),Department of Justice,2025-09-03 14:38:40.253,2025-09-24T23:59:59.9970,0006 - Correctional Institution Administration,GS-11/12
Competitive,"Gregg Township, Pennsylvania",0006,Correctional Institution Administration,GS-13,13,13,845086500,Correctional Program Specialist (Executive Assistant),Department of Justice,2025-09-04 17:19:19.423,2025-09-25T23:59:59.9970,0006 - Correctional Institution Administration,GS-13
