questionnaire_url,usajobs_control_number,position_title,announcement_number,hiring_agency,occupation_series,occupation_name,position_open_date,position_close_date,position_location,grade_code,position_schedule,extracted_from_file,extracted_date
https://apply.usastaffing.gov/ViewQuestionnaire/12445428,796588500,MATERIALS EXAMINER AND IDENTIFIER (HAZMAT),CO-12445428-AR-24-120,Department of the Army,6912,Materials Examining And Identifying,2025-06-25 15:49:45.180,2025-07-25T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.970658
https://apply.usastaffing.gov/ViewQuestionnaire/12477634,800167300,AIR TRAFFIC CONTROL SPECIALIST (TERMINAL),WY-12477634-AF-24-101,Department of the Air Force,2152,Air Traffic Control,2025-06-30 10:05:17.160,2025-07-15T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.970950
https://apply.usastaffing.gov/ViewQuestionnaire/12500397,804573300,AIRCRAFT PNEUDRAULIC/FUELS SYSTEM MECHANIC,CO-12500397-AF-24-144,Department of the Air Force,8268,Aircraft Pneudraulic Systems Mechanic,2025-06-18 09:17:24.140,2025-07-18T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.971447
https://apply.usastaffing.gov/ViewQuestionnaire/12569340,813468900,AIRCRAFT ORDNANCE SYSTEMS MECHANIC,CO-12569340-AF-24-169,Department of the Air Force,6652,Aircraft Ordnance Systems Mechanic,2025-06-18 09:28:23.697,2025-07-18T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.971943
https://apply.usastaffing.gov/ViewQuestionnaire/12565656,815484900,Rehabilitation Counselor,CBTD-12565656-25-TL,Department of Veterans Affairs,0101,Social Science,2025-06-11 13:01:41.260,2025-09-30T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.972358
https://apply.usastaffing.gov/ViewQuestionnaire/12592986,817106000,Health System Administrator (CEO),IHS-25-PX-12592986-ESEP/MP,Department of Health and Human Services,0670,Health System Administration,2025-07-02 13:32:40.150,2025-07-17T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.972693
https://apply.usastaffing.gov/ViewQuestionnaire/12609621,819777800,Supervisory Wildland Firefighter - Direct Hire Authority,DHA-25-12609621-CBXH-DN,Department of the Interior,0456,Wildland Fire Management,2025-06-26 15:55:33.253,2025-07-18T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.972962
https://apply.usastaffing.gov/ViewQuestionnaire/12620877,820514200,FOOD SERVICE WORKER,25-12620877,Department of the Navy,7408,Food Service Working,2025-06-23 00:00:00.000,2025-07-07T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.973142
https://apply.usastaffing.gov/ViewQuestionnaire/12631670,823377400,Nuclear Medicine Technologist,CBTD-12631670-25-DML,Department of Veterans Affairs,0601,General Health Science,2025-06-04 00:00:00.000,2025-07-07T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.973432
https://apply.usastaffing.gov/ViewQuestionnaire/12631671,823377600,Nuclear Medicine Technologist,CBTD-12631671-25-DML,Department of Veterans Affairs,0601,General Health Science,2025-06-04 00:00:00.000,2025-07-07T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.973720
